,Molweight,Atoms,Heavy Atoms,Rings,Bonds,Rotatable Bonds,H-bond Donors,H-bond Acceptors,Sweetness
0,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0,160.0
1,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
2,218.307,12.0,12.0,1.0,11.0,2.0,1.0,4.0,40.0
3,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0,160.0
4,205.166,13.0,13.0,2.0,13.0,0.0,0.0,4.0,300.0
5,217.328,12.0,12.0,1.0,11.0,2.0,1.0,4.0,50.0
6,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
7,178.229,11.0,11.0,1.0,11.0,2.0,1.0,4.0,30.0
8,182.177,12.0,12.0,2.0,13.0,0.0,0.0,4.0,300.0
9,804.872,56.0,56.0,7.0,62.0,10.0,11.0,18.0,250.0
10,422.446,26.0,26.0,4.0,26.0,0.0,1.0,7.0,300.0
11,397.633,23.0,23.0,2.0,24.0,5.0,5.0,8.0,600.0
12,183.184,12.0,12.0,2.0,13.0,0.0,1.0,4.0,300.0
13,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0,160.0
14,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0,160.0
15,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0,160.0
16,294.303,21.0,21.0,1.0,21.0,9.0,2.0,6.0,160.0
17,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
18,397.633,23.0,23.0,2.0,24.0,5.0,5.0,8.0,600.0
19,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
20,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
21,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
22,179.237,11.0,11.0,1.0,11.0,2.0,2.0,4.0,30.0
23,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
24,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
25,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
26,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0,0.4
27,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
28,182.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
29,182.141,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
30,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
31,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
32,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
33,192.111,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
34,343.289,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
35,343.289,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
36,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
37,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
38,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
39,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
40,360.312,24.0,24.0,2.0,24.0,4.0,9.0,12.0,0.175
41,180.156,12.0,12.0,0.0,11.0,5.0,5.0,6.0,0.42
42,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
43,186.112,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
44,342.296,23.0,23.0,2.0,24.0,4.0,8.0,11.0,0.175
45,181.173,12.0,12.0,0.0,11.0,5.0,6.0,6.0,0.54
46,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
47,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
48,342.296,23.0,23.0,2.0,24.0,5.0,8.0,11.0,1.0
49,181.149,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
50,180.156,12.0,12.0,1.0,12.0,1.0,5.0,6.0,0.75
