,Name,Class,SMILES,Class2,Calories,Sweetness,Origin,Approval,Therapeutic effect,Metabolism,Therapeutic annotation,Formula,Molweight,Atoms,Heavy Atoms,Rings,Bonds,Rotatable Bonds,H-bond Donors,H-bond Acceptors
0,aspartame,"Amino acid, Pep, Prot",O(C(=O)[C@@H](NC(=O)[C@@H](N)CC(=O)O)Cc1ccccc1)C,Aspartames,0-50 ,160.0,artificial,"INS, 951, E951","CAVE: Phenylketonuria, does not promote tooth decay","Aspartame is digested normally, breaks down to phenylalanine (CAVE Phenylketonuria), aspartic acid and a small amount of the organic compound methanol",sweetening agents,C<sub>1</sub><sub>4</sub>H<sub>1</sub><sub>8</sub>N<sub>2</sub>O<sub>5</sub>,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0
1,lactitol,carbohydrates,O1[C@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,Sugar Alcohols,,0.4,natural,,,,"sweetening agents, gastrointestinal agents",C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>4</sub>O<sub>1</sub><sub>1</sub>,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0
2,CALCIUM CYCLAMATE,Hydrocarbons,[Ca].S(=O)(=O)([O-])NC1CCCCC1,Cyclamat-like,,40.0,artificial,"INS 952, E 952",does not promote tooth decay,"generally absorbed from the gut und excreted unchanged by the the kidneys, metabolised by  bacteria in lower gut by some individuals",sweetening agents,C<sub>6</sub>H<sub>1</sub><sub>2</sub>CaNO<sub>3</sub>S,218.307,12.0,12.0,1.0,11.0,2.0,1.0,4.0
3,aspartame,"Amino acid, Pep, Prot",O(C(=O)C(NC(=O)C(N)CC(=O)O)Cc1ccccc1)C,Aspartames,0-50 ,160.0,artificial,"INS 951, E951","CAVE: Phenylketonuria, does not promote tooth decay","Aspartame is digested normally, breaks down to phenylalanine (CAVE Phenylketonuria), aspartic acid and a small amount of the organic compound methanol",sweetening agents,C<sub>1</sub><sub>4</sub>H<sub>1</sub><sub>8</sub>N<sub>2</sub>O<sub>5</sub>,294.303,21.0,21.0,1.0,21.0,9.0,3.0,7.0
4,saccharin,other,S1(=O)(=O)N=C([O-])c2c1cccc2.[Na+],Saccharines,,300.0,artificial,"INS 954, E 954",does not promote tooth decay,"absorbed, not metabolised, excreted unchanged in the kidneys",,C<sub>7</sub>H<sub>4</sub>NNaO<sub>3</sub>S,205.166,13.0,13.0,2.0,13.0,0.0,0.0,4.0
5,Cyclamate potassium,Hydrocarbons,[K+].S(=O)(=O)([O-])NC1CCCCC1,Cyclamat-like,,50.0,artificial,"INS 952, E 952",does not promote tooth decay,"generally absorbed from the gut und excreted unchanged by the the kidneys, metabolised by  bacteria in lower gut by some individuals",sweetening agents,C<sub>6</sub>H<sub>1</sub><sub>2</sub>KNO<sub>3</sub>S,217.328,12.0,12.0,1.0,11.0,2.0,1.0,4.0
6,lactitol,carbohydrates,O1[C@@H](OC(C(O)C(O)CO)C(O)CO)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,Sugar Alcohols,,0.4,natural,,,,"sweetening agents, gastrointestinal agents",C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>4</sub>O<sub>1</sub><sub>1</sub>,344.312,23.0,23.0,1.0,23.0,8.0,9.0,11.0
7,Sucaryl,other,S(=O)(=O)([O-])NC1CCCCC1,Cyclamat-like,,30.0,artificial,,,,,C<sub>6</sub>H<sub>1</sub><sub>2</sub>NO<sub>3</sub>S,178.229,11.0,11.0,1.0,11.0,2.0,1.0,4.0
8,saccharin,other,S1(=O)(=O)N=C([O-])c2c1cccc2,Saccharines,,300.0,artificial,,,,,C<sub>7</sub>H<sub>4</sub>NO<sub>3</sub>S,182.177,12.0,12.0,2.0,13.0,0.0,0.0,4.0
9,Stevioside,other,O([C@@]12C[C@@]3(C([C@@]4(C(CC3)[C@](CCC4)(C)C(=O)OC3OC(C(O)C(O)C3O)CO)C)CC1)CC2=C)C1OC(C(O)C(O)C1O)COC1OC(C(O)C(O)C1O)CO,Steviol glycosides,,250.0,natural,INS 960,,excreted in the urine as steviol glucoronide,,C<sub>3</sub><sub>8</sub>H<sub>6</sub><sub>0</sub>O<sub>1</sub><sub>8</sub>,804.872,56.0,56.0,7.0,62.0,10.0,11.0,18.0
