,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,FNLLP,"Other_90;
",O=C(NC(Cc1ccccc1)C(=O)O)C(NC(=O)C(NC=O)CCCC)CC(C)C,,,,,,,,,C<sub>2</sub><sub>2</sub>H<sub>3</sub><sub>3</sub>N<sub>3</sub>O<sub>5</sub>,419.515,30,30,1,30,16,4,8
0,AIDS165015,"Other_90;
",O=C(N[C@@H]([C@H](CC)C)C(=O)N[C@@H](CC(=O)OCCCCCCCCCCCC)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)O)CC(=O)O)[C@@H](N(C(=O)CCc1ccccc1)C)C(C)C,,,,,,,,,C<sub>4</sub><sub>7</sub>H<sub>7</sub><sub>7</sub>N<sub>5</sub>O<sub>1</sub><sub>1</sub>,888.141,63,63,1,63,39,6,16
0,AIDS165023,"Other_90;
",O=C(N[C@@H]([C@H](CC)C)C(=O)N[C@@H](CC(=O)O[C@H](CCCCCC)C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)OC)CC(=O)O)[C@@H](N(C(=O)CCc1ccccc1)C)C(C)C,,,,,,,,,C<sub>4</sub><sub>4</sub>H<sub>7</sub><sub>1</sub>N<sub>5</sub>O<sub>1</sub><sub>1</sub>,846.061,60,60,1,60,35,5,16
0,Digitalose,"Carbohydrates_90; Carbohydrates_95;
",O1C(C(O)C(OC)C(O)C1O)C,,,,,,,,,C<sub>7</sub>H<sub>1</sub><sub>4</sub>O<sub>5</sub>,178.183,12,12,1,12,1,3,5
0,Panose,"Carbohydrates_90;
",O1C(OC2OC(C(O)C(O)C2O)CO)(C(O)C(O)C1CO)COC1(OC(C(O)C1O)CO)CO,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>2</sub>O<sub>1</sub><sub>6</sub>,504.437,34,34,3,36,9,11,16
0,Oprea1_857114,"Other_90;
",S1(=O)(=O)N(S(=O)(=O)c2ccc(cc2)C)C(=O)c2c1cccc2,,,,,,,,,C<sub>1</sub><sub>4</sub>H<sub>1</sub><sub>1</sub>NO<sub>5</sub>S<sub>2</sub>,337.371,22,22,3,24,2,0,6
0,MolPort-003-847-541,"Carbohydrates_90;
",O1C2OC(OC2C(O)C(O)C1CO)(OC)C,,,,,,,,,C<sub>9</sub>H<sub>1</sub><sub>6</sub>O<sub>7</sub>,236.219,16,16,2,17,2,3,7
0,,,,,,,,,,,,,,,,,,,,
0,M9398_SIGMA,"Carbohydrates_90;
",O1C2C(OC1(C)C)C(OC(C2O)CO)OC,,,,,,,,,C<sub>1</sub><sub>0</sub>H<sub>1</sub><sub>8</sub>O<sub>6</sub>,234.246,16,16,2,17,2,2,6
0,CID5082332,"Other_90;
",O=C(NC(Cc1ccccc1)C(=O)O)C(NC(=O)CC(=O)C)C,,,,,,,,,C<sub>1</sub><sub>6</sub>H<sub>2</sub><sub>0</sub>N<sub>2</sub>O<sub>5</sub>,320.34,23,23,1,23,10,3,7
0,CID5100216,"Other_95; Other_90;
",O=C(NC(Cc1ccccc1)C(=O)OC)C(N(CCC(C)(C)C)CCC(C)(C)C)CC(=O)O,,,,,,,,,C<sub>2</sub><sub>6</sub>H<sub>4</sub><sub>2</sub>N<sub>2</sub>O<sub>5</sub>,462.622,33,33,1,33,16,2,7
